kaynak            : examples
bölme tohumları   : (11, 22, 33, 44, 55)
eğitim tohumları  : (0, 1, 2)
epoch / batch     : 20 / 64
--balance-by      : core:freq_lower_edge

=== bölme tohumu 11 ===
  train : bpsk_02(-180k), bpsk_04(+280k), qpsk_02(-180k), qpsk_04(+280k)
  val   : bpsk_01(-280k), qpsk_01(-280k)
  test  : bpsk_03(+180k), qpsk_03(+180k)
    [split 11 train 0] epoch   1 kayıp 0.6948 eğitim 0.5375 val 0.5000
    [split 11 train 0] epoch   2 kayıp 0.6742 eğitim 0.5938 val 0.5000
    [split 11 train 0] epoch   3 kayıp 0.6514 eğitim 0.6469 val 0.5000
    [split 11 train 0] epoch   4 kayıp 0.6192 eğitim 0.7312 val 0.5000
    [split 11 train 0] epoch   5 kayıp 0.5815 eğitim 0.8313 val 0.5000
    [split 11 train 0] epoch   6 kayıp 0.5371 eğitim 0.8875 val 0.5000
    [split 11 train 0] epoch   7 kayıp 0.4979 eğitim 0.9313 val 0.5000
    [split 11 train 0] epoch   8 kayıp 0.4552 eğitim 0.9406 val 0.5000
    [split 11 train 0] epoch   9 kayıp 0.4003 eğitim 0.9469 val 0.5000
    [split 11 train 0] epoch  10 kayıp 0.3438 eğitim 0.9750 val 0.5000
    [split 11 train 0] epoch  11 kayıp 0.2848 eğitim 0.9938 val 0.5000
    [split 11 train 0] epoch  12 kayıp 0.2259 eğitim 0.9969 val 0.5000
    [split 11 train 0] epoch  13 kayıp 0.1800 eğitim 1.0000 val 0.5000
    [split 11 train 0] epoch  14 kayıp 0.1403 eğitim 1.0000 val 0.5000
    [split 11 train 0] epoch  15 kayıp 0.1160 eğitim 1.0000 val 0.5000
    [split 11 train 0] epoch  16 kayıp 0.0936 eğitim 1.0000 val 0.5000
    [split 11 train 0] epoch  17 kayıp 0.0801 eğitim 1.0000 val 0.5000
    [split 11 train 0] epoch  18 kayıp 0.0638 eğitim 1.0000 val 0.5000
    [split 11 train 0] epoch  19 kayıp 0.0587 eğitim 1.0000 val 0.5000
    [split 11 train 0] epoch  20 kayıp 0.0494 eğitim 1.0000 val 0.5000
  -> eğitim tohumu 0: eğitim 100.00%  test 50.00%  (bpsk=0.00%  qpsk=100.00%)
    [split 11 train 1] epoch   1 kayıp 0.7040 eğitim 0.4750 val 0.5000
    [split 11 train 1] epoch   2 kayıp 0.6924 eğitim 0.5000 val 0.5000
    [split 11 train 1] epoch   3 kayıp 0.6773 eğitim 0.5687 val 0.5000
    [split 11 train 1] epoch   4 kayıp 0.6506 eğitim 0.6687 val 0.5000
    [split 11 train 1] epoch   5 kayıp 0.6259 eğitim 0.7688 val 0.5938
    [split 11 train 1] epoch   6 kayıp 0.6070 eğitim 0.7844 val 0.6438
    [split 11 train 1] epoch   7 kayıp 0.5907 eğitim 0.8156 val 0.9500
    [split 11 train 1] epoch   8 kayıp 0.5391 eğitim 0.9250 val 0.9563
    [split 11 train 1] epoch   9 kayıp 0.5134 eğitim 0.9313 val 0.8250
    [split 11 train 1] epoch  10 kayıp 0.4707 eğitim 0.9375 val 0.9000
    [split 11 train 1] epoch  11 kayıp 0.4135 eğitim 0.9563 val 0.5437
    [split 11 train 1] epoch  12 kayıp 0.3655 eğitim 0.9656 val 0.9375
    [split 11 train 1] epoch  13 kayıp 0.3250 eğitim 0.9812 val 0.8000
    [split 11 train 1] epoch  14 kayıp 0.2817 eğitim 0.9875 val 0.9062
    [split 11 train 1] epoch  15 kayıp 0.2544 eğitim 0.9875 val 0.8562
    [split 11 train 1] epoch  16 kayıp 0.2042 eğitim 0.9938 val 0.5125
    [split 11 train 1] epoch  17 kayıp 0.1838 eğitim 0.9969 val 0.5062
    [split 11 train 1] epoch  18 kayıp 0.1544 eğitim 0.9906 val 0.5062
    [split 11 train 1] epoch  19 kayıp 0.1388 eğitim 0.9969 val 0.5062
    [split 11 train 1] epoch  20 kayıp 0.1162 eğitim 0.9969 val 0.5062
  -> eğitim tohumu 1: eğitim 99.69%  test 85.00%  (bpsk=87.50%  qpsk=82.50%)
    [split 11 train 2] epoch   1 kayıp 0.7405 eğitim 0.5062 val 0.5000
    [split 11 train 2] epoch   2 kayıp 0.6863 eğitim 0.5531 val 0.5000
    [split 11 train 2] epoch   3 kayıp 0.6656 eğitim 0.6125 val 0.5000
    [split 11 train 2] epoch   4 kayıp 0.6367 eğitim 0.7031 val 0.9812
    [split 11 train 2] epoch   5 kayıp 0.6093 eğitim 0.7438 val 0.5062
    [split 11 train 2] epoch   6 kayıp 0.5781 eğitim 0.8219 val 0.5000
    [split 11 train 2] epoch   7 kayıp 0.5479 eğitim 0.8844 val 0.5062
    [split 11 train 2] epoch   8 kayıp 0.5080 eğitim 0.9500 val 0.7375
    [split 11 train 2] epoch   9 kayıp 0.4832 eğitim 0.9437 val 0.5563
    [split 11 train 2] epoch  10 kayıp 0.4550 eğitim 0.9469 val 0.5250
    [split 11 train 2] epoch  11 kayıp 0.4158 eğitim 0.9531 val 0.5125
    [split 11 train 2] epoch  12 kayıp 0.3834 eğitim 0.9469 val 0.6125
    [split 11 train 2] epoch  13 kayıp 0.3250 eğitim 0.9781 val 0.8625
    [split 11 train 2] epoch  14 kayıp 0.3013 eğitim 0.9844 val 0.9437
    [split 11 train 2] epoch  15 kayıp 0.2457 eğitim 1.0000 val 0.9625
    [split 11 train 2] epoch  16 kayıp 0.2380 eğitim 1.0000 val 0.9563
    [split 11 train 2] epoch  17 kayıp 0.2034 eğitim 0.9969 val 0.9187
    [split 11 train 2] epoch  18 kayıp 0.1702 eğitim 0.9906 val 0.7000
    [split 11 train 2] epoch  19 kayıp 0.1494 eğitim 1.0000 val 0.5563
    [split 11 train 2] epoch  20 kayıp 0.1293 eğitim 0.9969 val 0.5125
  -> eğitim tohumu 2: eğitim 99.69%  test 50.00%  (bpsk=100.00%  qpsk=0.00%)

=== bölme tohumu 22 ===
  train : bpsk_02(-180k), bpsk_03(+180k), qpsk_02(-180k), qpsk_03(+180k)
  val   : bpsk_01(-280k), qpsk_01(-280k)
  test  : bpsk_04(+280k), qpsk_04(+280k)
    [split 22 train 0] epoch   1 kayıp 0.6979 eğitim 0.5250 val 0.5000
    [split 22 train 0] epoch   2 kayıp 0.6844 eğitim 0.5406 val 0.5000
    [split 22 train 0] epoch   3 kayıp 0.6719 eğitim 0.5906 val 0.5000
    [split 22 train 0] epoch   4 kayıp 0.6503 eğitim 0.6562 val 0.5000
    [split 22 train 0] epoch   5 kayıp 0.6291 eğitim 0.7125 val 0.5000
    [split 22 train 0] epoch   6 kayıp 0.6067 eğitim 0.7906 val 0.5000
    [split 22 train 0] epoch   7 kayıp 0.5853 eğitim 0.8438 val 0.5000
    [split 22 train 0] epoch   8 kayıp 0.5692 eğitim 0.8531 val 0.5000
    [split 22 train 0] epoch   9 kayıp 0.5346 eğitim 0.8781 val 0.5000
    [split 22 train 0] epoch  10 kayıp 0.4947 eğitim 0.9031 val 0.5000
    [split 22 train 0] epoch  11 kayıp 0.4578 eğitim 0.9281 val 0.5000
    [split 22 train 0] epoch  12 kayıp 0.4023 eğitim 0.9781 val 0.5000
    [split 22 train 0] epoch  13 kayıp 0.3494 eğitim 0.9844 val 0.5000
    [split 22 train 0] epoch  14 kayıp 0.3068 eğitim 0.9906 val 0.5000
    [split 22 train 0] epoch  15 kayıp 0.2709 eğitim 0.9938 val 0.5000
    [split 22 train 0] epoch  16 kayıp 0.2287 eğitim 0.9969 val 0.5000
    [split 22 train 0] epoch  17 kayıp 0.1930 eğitim 1.0000 val 0.5000
    [split 22 train 0] epoch  18 kayıp 0.1703 eğitim 0.9875 val 0.5000
    [split 22 train 0] epoch  19 kayıp 0.1533 eğitim 0.9938 val 0.5000
    [split 22 train 0] epoch  20 kayıp 0.1278 eğitim 0.9969 val 0.5000
  -> eğitim tohumu 0: eğitim 99.69%  test 61.88%  (bpsk=35.00%  qpsk=88.75%)
    [split 22 train 1] epoch   1 kayıp 0.7014 eğitim 0.4906 val 0.5000
    [split 22 train 1] epoch   2 kayıp 0.6947 eğitim 0.4906 val 0.5000
    [split 22 train 1] epoch   3 kayıp 0.6817 eğitim 0.5281 val 0.5000
    [split 22 train 1] epoch   4 kayıp 0.6583 eğitim 0.6469 val 0.5000
    [split 22 train 1] epoch   5 kayıp 0.6397 eğitim 0.7281 val 0.5000
    [split 22 train 1] epoch   6 kayıp 0.6244 eğitim 0.7375 val 0.5000
    [split 22 train 1] epoch   7 kayıp 0.6085 eğitim 0.7688 val 0.5000
    [split 22 train 1] epoch   8 kayıp 0.5629 eğitim 0.8906 val 0.5000
    [split 22 train 1] epoch   9 kayıp 0.5388 eğitim 0.8812 val 0.5000
    [split 22 train 1] epoch  10 kayıp 0.4958 eğitim 0.9156 val 0.5000
    [split 22 train 1] epoch  11 kayıp 0.4381 eğitim 0.9437 val 0.5000
    [split 22 train 1] epoch  12 kayıp 0.3898 eğitim 0.9719 val 0.5000
    [split 22 train 1] epoch  13 kayıp 0.3427 eğitim 0.9750 val 0.5000
    [split 22 train 1] epoch  14 kayıp 0.2980 eğitim 0.9844 val 0.5000
    [split 22 train 1] epoch  15 kayıp 0.2632 eğitim 0.9875 val 0.5000
    [split 22 train 1] epoch  16 kayıp 0.2163 eğitim 0.9906 val 0.5000
    [split 22 train 1] epoch  17 kayıp 0.1870 eğitim 0.9969 val 0.5000
    [split 22 train 1] epoch  18 kayıp 0.1557 eğitim 0.9906 val 0.5000
    [split 22 train 1] epoch  19 kayıp 0.1393 eğitim 0.9969 val 0.5000
    [split 22 train 1] epoch  20 kayıp 0.1185 eğitim 0.9969 val 0.5000
  -> eğitim tohumu 1: eğitim 99.69%  test 50.00%  (bpsk=100.00%  qpsk=0.00%)
    [split 22 train 2] epoch   1 kayıp 0.7419 eğitim 0.5125 val 0.5000
    [split 22 train 2] epoch   2 kayıp 0.6891 eğitim 0.5656 val 0.5000
    [split 22 train 2] epoch   3 kayıp 0.6714 eğitim 0.6031 val 0.5000
    [split 22 train 2] epoch   4 kayıp 0.6430 eğitim 0.7063 val 0.6750
    [split 22 train 2] epoch   5 kayıp 0.6202 eğitim 0.6937 val 0.4938
    [split 22 train 2] epoch   6 kayıp 0.5858 eğitim 0.8031 val 0.5000
    [split 22 train 2] epoch   7 kayıp 0.5538 eğitim 0.8531 val 0.5000
    [split 22 train 2] epoch   8 kayıp 0.5042 eğitim 0.9313 val 0.5000
    [split 22 train 2] epoch   9 kayıp 0.4680 eğitim 0.9625 val 0.5000
    [split 22 train 2] epoch  10 kayıp 0.4316 eğitim 0.9375 val 0.5000
    [split 22 train 2] epoch  11 kayıp 0.3840 eğitim 0.9469 val 0.5000
    [split 22 train 2] epoch  12 kayıp 0.3399 eğitim 0.9563 val 0.5000
    [split 22 train 2] epoch  13 kayıp 0.2929 eğitim 0.9750 val 0.5000
    [split 22 train 2] epoch  14 kayıp 0.2641 eğitim 0.9969 val 0.5000
    [split 22 train 2] epoch  15 kayıp 0.2116 eğitim 1.0000 val 0.5000
    [split 22 train 2] epoch  16 kayıp 0.2048 eğitim 0.9969 val 0.5000
